"Date", "Numbers", "Winners", "Total Payout"
"2/17/2009","808 Evening","2047","$428,485"
"2/16/2009","122 Midday","5461","$865,135"
"2/16/2009","493 Evening","2248","$182,585"
"2/15/2009","539 Evening","2786","$300,695"
"2/14/2009","418 Midday","5167","$697,305"
"2/14/2009","977 Evening","1323","$207,550"
"2/13/2009","894 Midday","1557","$119,085"
"2/13/2009","329 Evening","2586","$309,985"
"2/12/2009","928 Midday","2031","$212,325"
"2/12/2009","251 Evening","6066","$515,595"
"2/11/2009","206 Midday","2030","$216,710"
"2/11/2009","339 Evening","1907","$419,710"
"2/10/2009","376 Midday","2719","$257,005"
"2/10/2009","490 Evening","2340","$198,960"
"2/9/2009","923 Midday","2374","$316,110"
"2/9/2009","918 Evening","2378","$233,695"
"2/8/2009","786 Evening","5758","$468,830"
"2/7/2009","219 Midday","3745","$466,460"
"2/7/2009","222 Evening","14345","$5,259,500"
"2/6/2009","023 Midday","4609","$344,425"
"2/6/2009","135 Evening","5584","$517,635"
"2/5/2009","198 Midday","2584","$219,110"
"2/5/2009","294 Evening","2102","$172,825"
"2/4/2009","156 Midday","4531","$421,205"
"2/4/2009","915 Evening","4693","$476,495"
"2/3/2009","695 Midday","2090","$183,035"
"2/3/2009","806 Evening","2122","$206,515"
"2/2/2009","036 Midday","2251","$162,380"
"2/2/2009","942 Evening","2873","$230,315"
"2/1/2009","321 Evening","14574","$1,472,095"
"1/31/2009","798 Midday","5893","$526,415"
"1/31/2009","969 Evening","1385","$232,290"
"1/30/2009","823 Midday","3610","$399,090"
"1/30/2009","650 Evening","2777","$316,425"
"1/29/2009","755 Midday","1197","$212,360"
"1/29/2009","885 Evening","1268","$201,780"
"1/28/2009","765 Midday","1974","$209,220"
"1/28/2009","292 Evening","2390","$395,095"
"1/27/2009","447 Midday","1025","$191,420"
"1/27/2009","540 Evening","1875","$166,645"
"1/26/2009","436 Midday","1861","$189,840"
"1/26/2009","576 Evening","3392","$311,615"
"1/25/2009","870 Evening","2719","$237,380"
"1/24/2009","129 Midday","3992","$475,680"
"1/24/2009","784 Evening","1648","$141,090"
"1/23/2009","498 Midday","1343","$124,600"
"1/23/2009","193 Evening","3958","$293,975"
"1/22/2009","207 Midday","1561","$171,435"
"1/22/2009","601 Evening","2754","$250,905"
